Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
d) 3,27.4,4.8,5.9,5.1,4.7,0.0,0.0,0.0,0.0
e) 4,25.5,6.1,4.0,2.9,4.9,6.9,0.0,0.0,
f) 5,24.7,5.1,1.7,0.7,2.1,0.0,0.0,0.0,0.0
g) 6 to 10,18.4,4.5,2.9,1.4,4.5,1.8,0.0,0.0,0.0
h) 11 to 15,13.5,4.0,1.6,1.5,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.3,2.2,2.7,1.3,1.4,0.0,0.0,0.0,0.0
m) ALL,18.7,4.4,3.0,2.1,2.4,1.0,0.0,0.0,0.0
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,35.0,7.1,7.5,6.4,0.0,0.0,0.0,0.0,
c) 2,27.5,5.7,3.3,2.3,0.0,0.0,0.0,0.0,0.0
d) 3,27.0,5.7,6.8,2.1,5.7,0.0,0.0,28.6,0.0
e) 4,20.2,4.2,3.5,4.4,0.0,17.1,0.0,0.0,0.0
f) 5,20.9,6.1,2.9,2.5,0.0,15.4,0.0,0.0,
g) 6 to 10,17.2,4.3,2.6,2.1,1.3,1.6,0.0,0.0,0.0
h) 11 to 15,14.0,1.8,1.7,1.3,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,16.4,4.2,2.8,3.4,0.0,0.0,0.0,,0.0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.0,3.5,1.5,1.3,1.4,2.2,0.0,0.0,0.0
m) ALL,18.8,4.2,2.9,2.1,1.1,2.5,0.0,1.9,0.0
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,31.3,7.8,6.7,3.9,4.1,8.7,0.0,0.0,
c) 2,24.9,7.0,5.0,3.0,2.7,0.0,0.0,0.0,
