Country: USA,,,,,,,,,
Variable: Job_Creation_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,
b) 1,D,D,516,524,886,30,16,21,D
c) 2,593,411,444,552,165,242,99,172,
d) 3,470,538,583,343,216,140,61,28,
e) 4,D,301,333,581,418,272,30,44,D
f) 5,372,D,151,438,311,109,96,28,
g) 6 to 10,"1,813","1,070","1,187","1,219",681,541,374,252,477
h) 11 to 15,737,911,999,"1,118",745,647,108,48,69
i) 16 to 20,371,446,551,916,456,471,228,165,D
j) 21 to 25,D,D,258,456,232,236,156,9,D
k) 26+,,,,,,,,,
l) Left Censored,375,350,610,"1,134","1,141","2,373",227,397,781
m) ALL,"6,555","5,633","5,632","7,281","5,251","5,061","1,395","1,164","1,442"
,           2001,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,D,D,572,762,177,513,136,19,
c) 2,540,382,353,568,243,241,64,90,D
d) 3,516,D,283,221,306,74,233,0,
e) 4,D,392,245,390,116,264,145,34,
f) 5,334,D,482,485,270,43,57,104,D
g) 6 to 10,964,"1,022","1,207","1,215",800,637,323,157,31
h) 11 to 15,562,680,"1,842","1,143",898,513,218,728,49
i) 16 to 20,446,417,621,817,489,388,21,83,D
j) 21 to 25,D,D,353,394,330,303,93,24,D
k) 26+,,,,,,,,,
l) Left Censored,304,D,588,"1,057",892,"1,400",393,244,978
m) ALL,"5,876","5,181","6,546","7,052","4,521","4,376","1,683","1,483","1,774"
,           2002,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,D
b) 1,"1,527",545,530,876,52,305,32,0,D
c) 2,883,D,419,451,208,377,138,7,
d) 3,413,342,275,426,305,146,171,68,D
e) 4,400,250,354,271,195,111,71,319,
f) 5,428,D,368,196,206,49,82,0,
g) 6 to 10,"1,227","1,046",944,997,"1,031",797,294,41,140
h) 11 to 15,764,774,"1,225","1,053",790,"1,014",658,387,0
i) 16 to 20,D,D,819,702,489,252,54,0,81
j) 21 to 25,D,D,458,542,500,492,305,7,D
k) 26+,,,,,,,,,
l) Left Censored,393,D,"1,263","1,703","1,215","1,274",361,78,710
m) ALL,"6,958","4,984","6,655","7,217","4,991","4,817","2,166",907,"1,120"
,           2003,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,
b) 1,"1,594",836,516,974,621,159,11,,D
c) 2,699,D,418,555,403,293,239,20,D
d) 3,617,D,420,544,369,645,191,24,
e) 4,607,D,333,434,298,283,207,247,D
f) 5,319,227,245,326,149,51,99,,D
g) 6 to 10,"1,067","1,175","1,973","1,605","1,256","1,007",334,443,D
h) 11 to 15,690,853,"1,179","1,645",740,729,146,195,
i) 16 to 20,466,D,600,"1,054",677,742,492,13,183
j) 21 to 25,434,D,454,681,421,399,318,102,D
k) 26+,49,78,55,438,68,31,10,,D
l) Left Censored,364,412,"1,119","1,464","1,037",947,"1,020",163,925
m) ALL,"6,906","6,315","7,312","9,720","6,039","5,286","3,067","1,207","1,615"
,           2004,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,"1,497",800,601,"1,497",189,313,567,34,
c) 2,804,586,542,447,521,682,74,,D
d) 3,525,D,295,584,486,173,8,0,D
e) 4,361,D,359,404,274,209,156,102,
f) 5,341,D,432,396,223,243,0,39,D
