Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
g) 6 to 10,22.6,9.0,5.6,5.7,3.1,17.2,2.5,0.0,D,D,0.0,D
h) 11 to 15,18.6,8.8,4.9,2.5,D,2.3,D,D,0.0,D,D,0.0
i) 16 to 20,13.9,7.9,3.6,4.9,6.8,3.1,2.8,D,1.4,D,D,0.0
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,11.7,5.1,2.9,1.7,2.6,6.4,1.7,1.8,1.5,2.0,D,D
m) ALL,20.0,8.7,5.2,4.2,3.6,6.6,1.8,1.9,1.2,1.9,5.7,4.3
,           1998,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D,,,
b) 1,39.7,12.1,6.6,13.4,0.0,0.0,D,D,,,,
c) 2,31.5,12.0,14.0,10.0,0.0,D,D,,,,D,
d) 3,29.5,12.3,6.2,12.3,0.0,0.0,0.0,D,D,,,
e) 4,28.5,14.6,6.1,0.0,D,D,D,D,D,D,D,
f) 5,21.2,10.5,6.6,0.0,D,0.0,D,D,,D,D,D
g) 6 to 10,21.7,9.1,5.9,3.2,5.8,15.7,D,D,0.0,,D,D
h) 11 to 15,16.4,6.8,4.8,6.7,D,0.3,D,D,3.9,D,0.0,0.0
i) 16 to 20,14.6,3.4,2.5,1.1,0.0,6.9,D,D,10.1,0.0,0.0,D
j) 21 to 25,9.2,11.6,7.3,2.1,D,8.1,D,D,D,0.0,0.0,D
k) 26+,,,,,,,,,,,,
l) Left Censored,12.7,4.6,4.1,2.0,2.3,1.5,1.2,2.4,4.0,1.3,7.3,6.2
m) ALL,20.3,7.9,5.3,3.9,3.6,6.3,5.0,2.8,7.3,1.2,5.5,5.8
,           1999,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,33.4,16.0,13.1,7.7,0.0,0.0,0.0,D,D,D,,
c) 2,31.7,10.7,D,D,0.0,0.0,D,D,,,,
d) 3,25.3,12.6,9.1,12.6,0.0,D,D,,,,,
e) 4,26.2,12.2,10.7,D,0.0,D,D,,D,,D,
f) 5,25.5,8.6,9.7,D,D,0.0,D,D,D,D,0.0,D
g) 6 to 10,22.3,6.1,8.6,5.9,0.0,D,D,D,D,D,D,D
h) 11 to 15,17.5,7.1,6.6,7.2,D,6.0,D,D,D,D,0.0,D
i) 16 to 20,13.7,4.0,3.6,0.0,9.3,10.2,D,D,D,D,D,D
