Country: USA,,,,,,,,,
Variable: Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
g) 6 to 10,"5,171","9,238","10,998","14,163","11,624","10,298","3,485","3,355","7,540"
h) 11 to 15,905,"1,958","2,198","3,182","2,356","1,713",D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,459","10,124","16,684","28,093","26,163","31,022","15,416","9,946","22,908"
m) ALL,"27,477","39,908","50,219","68,525","54,531","55,965","25,980","22,825","36,581"
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,872","4,058","3,873","4,971","2,743","2,020",D,,D
b) 1,"2,708","3,992","4,724","5,446","2,723","2,409",D,D,
c) 2,"2,341","3,590","3,880","4,928","3,749","2,867","1,890","1,698","6,406"
d) 3,"1,612","2,929","3,582","4,198","1,651","2,744","1,615","1,992",
e) 4,"1,571","2,542","2,867","4,241","2,644","2,796",D,D,
f) 5,"1,177","2,062","2,670","2,486","2,277","1,918",D,D,
g) 6 to 10,"5,411","8,963","11,574","14,558","12,284","9,420","5,442","2,460","4,622"
h) 11 to 15,"1,604","3,454","3,913","4,863","3,957","4,006",D,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,032","9,862","15,737","27,503","24,068","32,458","14,762","11,976","24,523"
m) ALL,"27,328","41,452","52,820","73,194","56,096","60,638","27,089","22,591","43,111"
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,587","3,975","3,417","4,332","2,685","3,105",,,
b) 1,"2,778","3,388","3,938","6,005","4,198","3,865","1,469",D,D
c) 2,"2,269","3,559","4,593","5,511","3,201","2,106",D,D,
d) 3,"1,938","3,229","3,546","5,028","4,108","2,951","1,567","3,232","5,573"
e) 4,"1,418","2,545","3,392","4,237","1,406","2,817","1,688","2,409",
f) 5,"1,404","2,380","2,788","3,864","2,325","2,367",D,D,
g) 6 to 10,"5,056","9,064","11,743","14,146","12,265","10,705","5,063","4,679","3,721"
h) 11 to 15,"2,418","4,448","5,602","7,373","5,507","4,947","1,287",D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,809","8,919","15,239","27,781","24,956","30,840","14,709","13,459","23,884"
m) ALL,"28,677","41,507","54,258","78,277","60,651","63,703","27,495","29,003","43,085"
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,726","5,031","4,273","5,302","2,489","2,877","3,192",,
b) 1,"3,041","3,852","4,212","4,723","3,217","3,425",D,D,
c) 2,"2,226","3,245","3,349","5,924","4,194","2,720","3,022",D,D
d) 3,"1,977","3,082","4,093","5,324","2,958","2,132",D,D,
e) 4,"1,732","2,940","3,278","4,560","3,220","3,542","1,545","2,993","5,714"
f) 5,"1,206","2,424","3,125","3,883","1,416","2,412",973,D,D
g) 6 to 10,"4,909","9,148","12,276","15,556","11,381","10,563","4,798","5,738","4,534"
h) 11 to 15,"3,098","5,503","6,896","9,090","6,805","6,782","2,733","2,096","5,561"
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,609","8,520","14,259","27,229","22,929","31,509","15,177","11,262","21,627"
m) ALL,"30,524","43,745","55,761","81,591","58,609","65,962","34,496","24,796","41,397"
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,466","4,052","3,633","3,246","2,878","1,092","2,297",,
b) 1,"3,031","4,598","4,080","5,833","2,466","2,800","2,591","4,019",
c) 2,"2,332","3,181","4,010","4,568","3,456","2,981","3,513","2,720",
d) 3,"1,747","2,839","3,470","5,142","4,215","2,101","1,942",D,D
e) 4,"1,674","2,793","3,671","4,976","2,591","2,153",D,D,
f) 5,"1,405","2,844","3,009","4,118","3,263","3,053",D,"4,806",D
g) 6 to 10,"4,822","8,885","12,079","15,152","10,331","8,597","5,123","5,354","4,997"
h) 11 to 15,"3,634","6,627","8,887","11,852","9,377","9,536","3,791","3,291","6,640"
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,291","7,895","13,257","26,326","24,365","28,908","14,856","13,293","20,647"
m) ALL,"29,402","43,714","56,096","81,213","62,942","61,221","36,200","37,346","38,942"
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,906","3,294","3,196","2,582","1,386",D,D,,
b) 1,"2,576","3,702","3,759","4,206","1,944",D,D,"1,828",
c) 2,"2,465","4,055","3,997","5,259","3,079","2,303","2,837",D,D
d) 3,"2,006","2,819","3,354","4,141","2,864","2,661","1,385",D,D
e) 4,"1,596","2,590","3,230","4,809","3,665","2,074","1,924",D,D
f) 5,"1,523","2,469","3,047","4,638","2,970","1,747",D,D,
g) 6 to 10,"5,002","9,402","11,748","15,328","10,141","8,498","4,405","8,637","5,144"
h) 11 to 15,"3,558","6,498","8,530","11,608","8,830","8,022","5,102","4,573","5,891"
i) 16 to 20,639,"1,337","1,914","2,508","2,161","2,231",D,,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,139","7,371","12,395","25,154","22,840","26,635","11,773","14,150","19,121"
m) ALL,"29,410","43,537","55,170","80,233","59,880","59,549","31,187","34,539","37,751"
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,659","3,388","2,972","2,611","1,144","2,288",D,D,D
b) 1,"2,541","3,009","3,033","3,791","1,794","1,606",D,D,
c) 2,"2,103","3,151","3,237","3,833","2,248","3,010",D,D,
d) 3,"2,163","3,495","3,336","4,584","3,567","2,098","2,324",D,D
e) 4,"1,827","2,354","3,427","3,248","3,001","1,546",D,D,
f) 5,"1,432","2,335","2,940","4,094","3,757","1,802","1,374",,
g) 6 to 10,"5,244","9,326","11,841","16,810","9,575","7,575","6,197","7,359","5,249"
h) 11 to 15,"3,469","6,523","8,881","11,033","8,941","7,949","4,577",D,D
i) 16 to 20,"1,125","2,208","3,116","4,046","2,910","3,558","1,934",D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,890","6,909","12,388","23,441","21,613","25,373","10,564","11,392","20,536"
m) ALL,"29,453","42,698","55,171","77,491","58,550","56,805","32,545","32,260","37,255"
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,660","3,609","2,588","3,844","2,643","1,891",,,
b) 1,"2,419","2,936","3,045","3,257","2,234","2,336","1,563",D,D
c) 2,"1,914","2,524","2,849","3,094","1,995","1,592",D,D,
d) 3,"1,756","2,930","2,950","3,205","2,613","2,957",,"3,549",
e) 4,"1,856","3,158","3,118","4,161","2,964","2,680",D,"2,438",D
f) 5,"1,537","2,234","3,088","3,379","2,972","1,310",D,D,
g) 6 to 10,"5,447","9,535","11,951","17,760","10,560","7,716","7,544","4,905","4,878"
h) 11 to 15,"3,482","6,060","8,902","10,841","8,752","7,788","4,281",D,D
i) 16 to 20,"1,652","3,277","4,449","5,165","3,503","4,744","2,527",D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,699","6,925","11,486","22,014","20,310","24,803","9,564","11,196","20,250"
m) ALL,"29,422","43,188","54,426","76,720","58,546","57,817","29,516","31,776","40,473"
,           1996,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,715","3,326","3,304","5,053","1,841","2,865",D,D,D
b) 1,"2,445","3,013","3,337","3,841","2,810","3,284",999,,
c) 2,"1,827","2,636","2,789","2,983","2,413","1,824","2,160",D,D
d) 3,"1,676","2,213","2,469","3,123","1,463","2,095",D,D,
e) 4,"1,596","2,526","2,533","3,194","2,034","2,761",D,D,
f) 5,"1,786","2,767","2,966","3,358","3,182","2,469","1,557",D,D
g) 6 to 10,"5,305","9,505","12,011","16,125","11,517","8,760","6,755",D,D
h) 11 to 15,"3,414","6,040","8,626","11,705","9,127","7,765","5,532","3,430","3,483"
i) 16 to 20,"2,191","4,083","5,312","6,597","4,354","5,649","3,058",D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,575","6,152","11,163","20,711","19,033","22,491","9,344","11,529","18,030"
m) ALL,"29,530","42,261","54,510","76,690","57,774","59,963","30,994","32,521","37,597"
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,048","3,036","2,974","3,123","1,297","1,664",,,
b) 1,"2,537","2,962","3,320","4,443","3,075","3,066","2,374",D,D
c) 2,"1,932","2,736","3,243","3,172","3,410","3,043","1,470",,
d) 3,"1,646","2,312","2,589","3,158","2,622","1,721",D,D,"7,573"
e) 4,"1,377","2,033","2,449","3,236","1,449","1,896",D,D,
f) 5,"1,336","2,230","2,270","3,155","1,887","2,098",D,D,
g) 6 to 10,"5,795","9,417","11,541","15,632","12,276","10,150","6,320","9,007","4,114"
h) 11 to 15,"3,407","6,269","7,864","11,493","7,898","6,557","5,459",D,D
i) 16 to 20,"2,755","4,555","6,767","9,195","6,013","7,501","3,807",D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,404","6,212","10,529","19,275","18,289","22,594","9,534","10,457","18,909"
m) ALL,"30,237","41,762","53,546","75,882","58,216","60,290","32,845","31,215","37,121"
,           1998,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,230","3,325","3,011","4,074","1,824",D,D,,
b) 1,"2,566","3,210","2,804","3,513","2,151",D,D,,
c) 2,"1,969","2,547","3,049","4,314","2,955","2,092","1,704",D,D
d) 3,"1,583","2,367","2,791","3,609","3,212","3,155",D,D,
e) 4,"1,398","1,903","2,383","3,180","2,364","1,372",D,D,"7,217"
f) 5,"1,271","1,840","2,057","3,121","1,523","1,153",D,D,
g) 6 to 10,"5,433","9,507","10,941","14,222","11,314","9,658","4,034",D,D
h) 11 to 15,"3,458","6,187","7,905","11,494","7,182","8,751","4,941","7,958","3,761"
i) 16 to 20,"2,645","4,588","6,199","8,253","7,023","6,560","3,937",D,D
j) 21 to 25,501,895,"1,458","1,892","1,130","1,992",D,,D
k) 26+,,,,,,,,,
l) Left Censored,"3,237","5,655","9,898","18,302","17,618","20,531","10,235","8,295","20,013"
m) ALL,"29,291","42,024","52,496","75,974","58,296","59,414","29,648","29,457","37,382"
,           1999,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,966","2,714","3,134","4,654","1,754","3,178",D,D,
b) 1,"2,239","2,618","3,113","4,110","2,964","2,480",D,D,
c) 2,"2,143","2,677","2,864","3,075","2,006","2,629",D,D,
d) 3,"1,652","2,433","2,694","4,222","2,605","2,270","1,526",D,D
e) 4,"1,362","2,122","2,527","3,356","3,432","2,501",D,D,
f) 5,"1,229","1,771","2,328","2,660","2,245","1,081",D,D,"4,638"
g) 6 to 10,"5,128","8,556","11,115","13,873","10,111","9,769","4,678","6,708",
h) 11 to 15,"3,390","6,001","8,589","11,159","7,615","7,065","4,946","6,661","3,744"
i) 16 to 20,"2,682","4,853","6,081","8,609","6,654","7,568","3,049",D,D
j) 21 to 25,914,"1,645","2,402","3,117","2,377","2,887","1,946",D,D
k) 26+,,,,,,,,,
l) Left Censored,"3,088","5,379","9,463","16,983","17,768","20,462","9,242","7,941","18,886"
m) ALL,"28,793","40,769","54,310","75,818","59,531","61,890","31,641","29,496","32,234"
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,377","3,346","3,020","3,330","2,483","2,061","1,848",,
b) 1,"2,215","2,580","2,870","4,504","3,215","2,064","2,027",D,D
c) 2,"1,872","2,366","2,809","3,521","3,362","1,757",D,D,
d) 3,"1,771","2,601","2,782","3,671","1,768","2,154",D,D,
e) 4,"1,474","2,205","2,535","3,814","2,679","2,798","1,040",D,D
f) 5,"1,251","2,092","2,491","3,121","3,277","2,395",D,D,
g) 6 to 10,"5,045","8,452","10,666","12,941","9,739","9,068","5,829","6,616","5,012"
h) 11 to 15,"3,513","6,160","9,325","12,372","8,313","7,264","7,205","3,916","3,550"
i) 16 to 20,"2,511","4,379","6,476","8,220","7,388","7,722","3,444",D,D
j) 21 to 25,"1,340","2,298","3,314","4,536","3,738","4,067","2,290",D,D
k) 26+,,,,,,,,,
l) Left Censored,"3,000","5,183","8,896","16,508","17,014","20,405","12,098","6,689","19,671"
m) ALL,"29,369","41,662","55,184","76,538","62,976","61,755","40,774","25,840","35,384"
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,496","3,288","3,189","4,741","1,877","1,078",D,D,
b) 1,"2,369","2,739","3,331","4,249","2,640","1,988","2,263","1,863",
c) 2,"1,754","2,274","2,557","4,419","2,874","2,584","1,419",D,D
d) 3,"1,569","2,208","2,455","3,481","3,339",905,D,D,
e) 4,"1,517","2,451","2,469","3,132","2,008","2,425",D,D,
f) 5,"1,285","2,101","2,074","3,972","2,988","2,660","1,316",D,D
g) 6 to 10,"5,025","8,651","10,647","13,407","11,785","9,470","6,229",D,D
h) 11 to 15,"3,548","6,052","9,675","11,774","8,380","8,899","7,008","5,309","3,599"
i) 16 to 20,"2,561","4,362","6,983","9,158","7,693","8,164","3,867",D,D
j) 21 to 25,"1,779","2,940","3,962","5,363","4,791","5,012","2,713",D,D
k) 26+,,,,,,,,,
l) Left Censored,"2,767","5,036","8,702","16,251","16,995","21,083","10,963","7,210","20,431"
m) ALL,"29,670","42,102","56,044","79,947","65,370","64,268","39,824","35,706","35,968"
,           2002,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,452","3,959","3,383","5,366","2,696",D,,D,
b) 1,"2,460","2,858","2,862","4,395","2,761","1,987",961,D,D
c) 2,"1,828","2,643","2,740","3,842","2,814","2,001","2,037","1,771",
