Country: USA,,,,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
e) 4,92,40,D,176,30,0,D,0,,0,,
f) 5,68,D,96,D,0,D,D,,D,,,0
g) 6 to 10,184,54,177,417,397,151,175,D,D,D,D,D
h) 11 to 15,139,125,107,198,429,74,54,D,274,D,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,100,144,279,740,845,920,342,965,"1,011",270,28,"4,658"
m) ALL,"6,287","3,131","2,664","4,015","2,850","2,745","2,756","1,560","1,404",726,134,"4,770"
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,693",D,"1,598","1,878",570,D,D,D,,,,
b) 1,24,22,59,191,0,D,0,D,D,,,
c) 2,105,26,47,D,D,0,0,0,,,0,
d) 3,91,76,D,116,D,D,0,0,0,,,
e) 4,78,44,66,D,D,D,0,0,D,D,,0
f) 5,54,D,D,39,D,D,0,0,D,,,
g) 6 to 10,216,142,238,244,443,227,D,0,D,0,,D
h) 11 to 15,163,90,52,136,439,106,47,D,D,D,35,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,118,118,150,331,245,779,440,204,647,"1,205",113,"1,803"
m) ALL,"5,542","2,917","2,244","3,103","1,763","2,021",985,"1,563","1,909","1,241",148,"1,898"
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,728",D,"1,446","1,479",569,D,D,,,,,
b) 1,0,20,D,D,D,D,0,,0,,,D
c) 2,123,74,D,17,0,D,0,0,D,,,
d) 3,90,47,D,0,D,D,0,0,,,0,
e) 4,67,0,D,D,0,0,0,,0,0,,
f) 5,106,44,0,0,0,D,D,0,0,0,,
g) 6 to 10,323,113,122,77,68,D,0,15,160,D,0,0
h) 11 to 15,153,82,D,73,D,57,52,20,D,0,D,D
i) 16 to 20,32,D,D,D,D,50,63,0,D,,0,0
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,87,102,51,240,92,164,321,100,589,D,D,"4,016"
m) ALL,"5,709","2,661","1,796","1,998",796,"1,477","1,212",135,993,375,138,"4,161"
,           1994,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,178","1,784","1,734",363,D,D,D,D,,,
b) 1,D,D,D,116,0,D,0,0,,,,
c) 2,89,23,D,D,0,0,0,D,0,0,,0
d) 3,96,45,D,D,0,0,D,0,0,,,
e) 4,91,D,D,156,D,D,D,0,,0,0,
f) 5,57,D,D,D,D,D,D,,0,,,
g) 6 to 10,191,108,58,185,129,46,D,102,D,D,,D
h) 11 to 15,96,82,64,101,D,38,146,D,D,D,D,0
i) 16 to 20,54,D,D,D,D,76,D,D,D,0,0,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,116,71,D,120,121,375,232,583,675,"1,261",D,"3,286"
m) ALL,"5,262","2,565","2,021","2,536",664,"1,120","1,347","1,878","4,277","1,384",105,"3,471"
,           1995,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,442","2,251","1,759","1,681",755,,,,,,,
b) 1,0,D,D,D,0,0,0,0,0,D,,0
c) 2,42,27,85,D,D,0,0,0,0,,,
d) 3,64,33,0,0,0,D,D,D,D,0,,0
e) 4,93,D,62,D,21,0,0,0,0,0,,0
f) 5,112,43,0,0,0,D,D,0,,,,
g) 6 to 10,199,77,104,94,115,178,D,0,56,D,0,0
h) 11 to 15,134,54,24,200,D,D,43,D,36,69,0,0
i) 16 to 20,55,D,D,D,D,405,42,D,D,D,D,138
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,80,42,92,150,174,263,371,198,495,D,D,"3,854"
m) ALL,"5,221","2,573","2,154","2,240","1,277","1,145",816,442,"3,295","1,300",463,"3,992"
,           1996,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,483","2,075","1,969","2,538",633,"1,036",,,,,,
b) 1,0,D,D,D,0,0,,D,,,,
c) 2,63,49,0,35,0,D,0,0,D,0,0,
d) 3,106,D,D,D,0,0,0,0,,,,
