Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m) ALL,"12,920","6,305","3,918","2,448",849,404,96,45,22
,           1998,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,877",266,119,70,13,6,1,,
b) 1,"1,136",494,207,116,29,14,2,,
c) 2,901,399,233,138,45,16,5,1,1
d) 3,708,371,214,118,48,19,2,1,
e) 4,646,307,181,108,34,10,5,2,3
f) 5,585,292,162,105,23,8,2,3,
g) 6 to 10,"2,432","1,468",829,484,172,69,12,9,1
h) 11 to 15,"1,542",950,603,386,109,58,15,12,3
i) 16 to 20,"1,205",733,484,275,106,44,12,4,1
j) 21 to 25,207,142,114,65,18,14,2,,1
k) 26+,,,,,,,,,
l) Left Censored,"1,473",885,747,618,256,142,31,12,13
m) ALL,"12,712","6,307","3,893","2,483",853,400,89,44,23
,           1999,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,789",214,121,79,14,10,2,1,
b) 1,"1,060",403,221,126,44,14,6,2,
c) 2,934,424,212,110,32,17,1,1,
d) 3,762,386,199,137,37,15,4,1,1
e) 4,606,342,191,113,51,16,2,1,
f) 5,562,276,177,90,32,7,5,2,3
g) 6 to 10,"2,311","1,341",842,463,153,63,15,10,
h) 11 to 15,"1,544",952,652,378,114,50,16,10,3
i) 16 to 20,"1,212",762,458,287,96,49,10,3,1
j) 21 to 25,382,256,179,110,34,19,6,1,1
k) 26+,,,,,,,,,
l) Left Censored,"1,383",837,706,569,259,138,28,12,13
m) ALL,"12,545","6,193","3,958","2,462",866,398,95,44,22
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,895",274,114,54,18,7,3,,
b) 1,"1,031",387,199,145,45,15,5,2,1
c) 2,855,371,210,111,52,13,8,1,
d) 3,778,407,206,114,26,14,3,1,
e) 4,670,345,187,113,39,18,3,2,1
f) 5,538,320,182,104,48,16,3,1,
g) 6 to 10,"2,251","1,297",801,428,145,58,17,9,3
h) 11 to 15,"1,573",958,699,409,120,52,22,6,3
i) 16 to 20,"1,152",684,487,269,106,50,11,5,1
j) 21 to 25,584,369,250,154,54,27,7,1,2
k) 26+,,,,,,,,,
l) Left Censored,"1,309",800,669,544,245,138,34,10,13
m) ALL,"12,636","6,212","4,004","2,445",898,408,116,38,24
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,962",267,120,84,14,4,1,4,
b) 1,"1,104",420,247,132,41,14,6,3,
c) 2,833,356,186,145,41,16,4,3,1
d) 3,747,341,188,112,49,7,7,2,
e) 4,669,366,186,109,30,14,2,1,
f) 5,590,327,161,120,43,19,4,1,2
g) 6 to 10,"2,252","1,321",790,443,169,61,18,8,2
h) 11 to 15,"1,592",949,720,391,127,64,21,7,3
i) 16 to 20,"1,159",677,522,300,111,53,12,6,2
j) 21 to 25,794,463,305,181,71,34,8,1,2
k) 26+,,,,,,,,,
l) Left Censored,"1,245",781,651,545,244,139,32,11,13
m) ALL,"12,947","6,268","4,076","2,562",940,425,115,47,25
,           2002,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,290",325,130,90,20,10,,1,
b) 1,"1,107",433,226,143,43,13,3,6,1
c) 2,877,418,209,134,40,13,6,3,
d) 3,705,330,174,144,39,16,3,2,1
e) 4,660,321,172,105,43,8,5,2,
f) 5,547,346,180,103,24,15,2,1,
g) 6 to 10,"2,122","1,235",751,438,163,63,20,9,2
h) 11 to 15,"1,613","1,007",695,400,125,72,20,8,2
i) 16 to 20,"1,058",672,495,310,99,51,7,6,3
j) 21 to 25,960,542,378,243,93,46,8,3,2
k) 26+,,,,,,,,,
l) Left Censored,"1,161",742,601,530,224,137,37,9,11
m) ALL,"13,100","6,371","4,011","2,640",913,444,111,50,22
,           2003,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,198",285,138,68,14,8,2,,
b) 1,"1,310",513,294,128,63,20,6,,1
c) 2,881,403,231,134,41,12,4,1,1
d) 3,762,368,205,134,36,16,6,3,
e) 4,634,287,194,128,34,20,2,3,1
f) 5,593,298,164,103,40,9,5,,1
g) 6 to 10,"2,090","1,204",756,428,144,71,17,9,2
h) 11 to 15,"1,597","1,009",688,382,129,58,16,8,
i) 16 to 20,"1,068",659,479,311,103,57,12,9,5
j) 21 to 25,940,546,376,237,87,40,9,4,1
k) 26+,179,110,84,52,19,11,2,,1
