Country: USA,,,,,,,,,
Variable: Job_Destruction_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,D
b) 1,933,318,543,D,D,0,0,,
c) 2,693,345,D,D,0,0,0,D,D
d) 3,520,315,D,419,D,0,D,D,
e) 4,504,321,198,D,D,0,D,D,
f) 5,473,196,355,267,D,0,D,D,D
g) 6 to 10,"1,443",841,859,710,D,D,0,D,D
h) 11 to 15,586,471,436,D,D,0,0,0,0
i) 16 to 20,281,186,160,D,D,0,0,D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,589,340,489,415,D,D,0,0,0
m) ALL,"6,022","3,333","3,520","4,173","2,471",407,565,0,0
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,933,349,442,862,D,D,0,D,D
c) 2,707,433,226,268,0,0,0,,
d) 3,492,294,148,D,D,0,D,D,0
e) 4,440,185,D,D,0,0,D,D,
f) 5,465,224,146,330,D,D,D,D,
g) 6 to 10,"1,811",918,941,520,398,"1,088",0,0,0
h) 11 to 15,825,615,398,258,357,0,0,D,D
i) 16 to 20,497,452,251,483,0,0,0,D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,497,404,D,477,D,0,0,0,0
m) ALL,"6,667","3,874","3,261","3,540","1,512","1,810",0,0,0
,           1998,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,"1,062",295,284,586,D,D,D,,
c) 2,686,300,369,448,D,D,D,D,D
d) 3,561,347,153,D,0,D,D,D,
e) 4,445,248,97,D,D,681,D,D,0
f) 5,330,388,195,209,D,D,D,D,
g) 6 to 10,"1,480",987,838,519,473,D,D,D,D
h) 11 to 15,713,491,356,736,D,D,0,0,0
i) 16 to 20,438,156,203,D,D,0,0,D,D
j) 21 to 25,60,98,0,D,0,D,D,,D
k) 26+,,,,,,,,,
l) Left Censored,485,393,315,988,0,D,D,0,0
m) ALL,"6,260","3,703","2,810","4,271","1,415","4,288","1,894",0,0
,           1999,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,
b) 1,842,D,346,D,D,0,D,D,
c) 2,715,294,167,D,D,0,D,D,
d) 3,465,339,333,D,0,D,0,D,D
e) 4,397,219,355,228,D,D,D,D,
f) 5,345,174,255,D,D,0,D,D,0
g) 6 to 10,"1,240",630,969,D,0,0,0,D,
h) 11 to 15,721,453,686,730,D,D,0,0,0
i) 16 to 20,431,196,250,D,D,D,0,D,D
j) 21 to 25,146,D,0,D,0,0,0,D,D
k) 26+,,,,,,,,,
l) Left Censored,503,375,497,638,357,0,0,0,0
m) ALL,"5,805","3,246","3,858","3,889","1,712","1,511",0,"1,166",0
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,762,250,D,322,D,D,0,D,D
