Country: USA,,,,,,,,,,,,
Variable: firmdeath_emp,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,702,614,438,822,D,D,.,.,.,.,.,.
m) ALL,"3,548","1,880","1,757","2,455",961,492,.,.,.,.,.,.
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,909,317,248,D,D,.,.,.,,.,,
c) 2,478,D,286,D,.,.,.,,,,,.
d) 3,401,122,210,220,.,.,,.,.,,,.
e) 4,278,102,D,D,D,.,.,.,.,.,.,
f) 5,215,151,D,D,.,.,.,.,,,,.
g) 6 to 10,806,491,465,268,.,.,.,.,.,.,.,.
h) 11 to 15,50,D,D,.,.,.,.,.,.,.,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,634,270,280,204,403,.,.,.,.,.,.,.
m) ALL,"3,771","1,735","1,612","1,134",715,.,.,.,.,.,.,.
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,.,,,
b) 1,540,237,308,446,.,.,.,.,.,,.,
c) 2,579,234,321,D,D,.,.,.,,.,,
d) 3,327,234,D,D,.,.,.,,.,,,.
e) 4,364,241,249,D,D,.,,,.,,,
f) 5,276,142,D,D,.,.,.,.,.,.,.,
g) 6 to 10,686,385,458,D,.,D,.,.,.,.,.,.
h) 11 to 15,199,92,86,D,D,.,.,.,.,,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,608,416,223,431,.,.,.,.,.,.,.,.
m) ALL,"3,579","1,981","1,874","2,028",484,278,.,.,.,.,.,.
,           1990,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,460,213,144,144,.,.,.,.,.,,,
c) 2,426,227,117,D,.,D,.,.,.,.,,
d) 3,394,183,131,D,D,.,.,.,,.,,
e) 4,271,155,200,D,D,D,.,.,.,,,.
f) 5,203,119,D,D,.,.,.,.,.,.,,
g) 6 to 10,610,346,429,406,D,D,.,.,.,.,.,.
