Table 8-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individuals in science and engineering occupations as a percentage of all occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individuals in S&E occupations,,,,,,,,,,,All occupations,,,,,,,,,,,S&E occupations/all occupations (%),,,,,,,,,
State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Utah,"45,570","43,030","45,110","49,690","51,340","52,570","51,270","50,830","51,350","54,720",,"1,043,500","1,077,210","1,099,230","1,151,020","1,206,180","1,230,320","1,185,770","1,148,520","1,165,980","1,200,850",,4.37,3.99,4.10,4.32,4.26,4.27,4.32,4.43,4.40,4.56
Vermont ,"11,420","11,770","12,770","12,780","12,760","12,360","12,780","12,670","13,100","12,870",,"291,400","296,260","297,650","299,610","301,140","301,130","294,120","286,990","290,830","294,090",,3.92,3.97,4.29,4.27,4.24,4.10,4.35,4.41,4.50,4.38
Virginia,"209,280","220,180","236,650","251,720","254,710","259,280","264,090","255,800","267,620","274,280",,"3,412,070","3,494,250","3,535,500","3,608,430","3,645,330","3,670,980","3,589,520","3,527,350","3,553,360","3,597,100",,6.13,6.30,6.69,6.98,6.99,7.06,7.36,7.25,7.53,7.63
Washington,"150,230","154,610","160,960","171,780","183,900",NA,"196,850","186,210","196,760",NA,,"2,560,190","2,614,640","2,653,320","2,736,910","2,811,700","2,868,910","2,789,670","2,693,220","2,720,660","2,764,080",,5.87,5.91,6.07,6.28,6.54,NA,7.06,6.91,7.23,NA
West Virginia ,"16,220","16,100","16,040","17,150","16,560","17,000","16,350","17,070","18,300","19,900",,"680,200","692,840","697,390","710,560","713,230","717,740","704,310","688,170","700,250","710,540",,2.38,2.32,2.30,2.41,2.32,2.37,2.32,2.48,2.61,2.80
Wisconsin,"93,320","95,230","93,590","96,860","99,380","101,680","100,850","99,240","102,320","103,030",,"2,687,400","2,717,970","2,727,430","2,744,210","2,768,830","2,776,690","2,689,710","2,608,740","2,645,180","2,673,280",,3.47,3.50,3.43,3.53,3.59,3.66,3.75,3.80,3.87,3.85
Wyoming ,"6,130","6,760","7,350","7,640","8,110","8,850","8,920","8,260","8,440","8,710",,"240,730","246,670","251,590","262,260","273,170","283,980","282,450","269,910","272,570","278,040",,2.55,2.74,2.92,2.91,2.97,3.12,3.16,3.06,3.10,3.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"19,940","20,410","20,950","23,850","23,630","22,970","22,760","20,850","20,990","21,750",,"962,000","1,022,610","1,026,290","1,031,650",NA,"999,010","962,030","950,570","930,940","942,080",,2.07,2.00,2.04,2.31,NA,2.30,2.37,2.19,2.25,2.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
