State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Tennessee,1985,62.7,57.6
Texas,1985,68.5,63.8
Utah,1985,68.1,63.8
Vermont,1985,69.7,66.4
Virginia,1985,68.2,64.6
Washington,1985,64.5,59.1
West Virginia,1985,51.2,44.3
Wisconsin,1985,67.2,62.4
Wyoming,1985,70.7,65.6
Alabama,1986,61.3,55.7
Alaska,1986,72.7,64.7
Arizona,1986,64.6,60.2
Arkansas,1986,60.4,55.2
California,1986,66.5,62
Colorado,1986,71.3,65.9
Connecticut,1986,69.2,66.6
Delaware,1986,67.3,64.7
Florida,1986,60.7,57.1
Georgia,1986,66.8,62.9
Hawaii,1986,66.6,63.6
Idaho,1986,66.5,61.1
Illinois,1986,65.6,60.2
Indiana,1986,66,61.5
Iowa,1986,67.5,62.9
Kansas,1986,68.5,64.8
Kentucky,1986,62.2,56.5
Louisiana,1986,61.1,53.5
Maine,1986,64,60.6
Maryland,1986,69.2,66
Massachusetts,1986,67.5,64.8
Michigan,1986,64.3,58.6
Minnesota,1986,71.5,67.5
Mississippi,1986,62,54.5
Missouri,1986,65.5,61.4
Montana,1986,66.7,61.6
Nebraska,1986,69,65.6
Nevada,1986,72.5,67.7
New Hampshire,1986,72.1,70.3
New Jersey,1986,65.6,62.3
New Mexico,1986,63.2,57.4
New York,1986,61.4,57.6
North Carolina,1986,67.3,63.7
North Dakota,1986,67.9,64
Ohio,1986,64.4,59.1
Oklahoma,1986,64.7,59.2
Oregon,1986,66.3,61.1
Pennsylvania,1986,60.8,56.6
Rhode Island,1986,67.1,64.4
South Carolina,1986,65.8,61.8
South Dakota,1986,68.4,65.2
Tennessee,1986,63.1,58.2
Texas,1986,68.6,62.5
Utah,1986,69,64.8
Vermont,1986,70.9,67.7
Virginia,1986,68.3,64.9
Washington,1986,65.9,60.6
West Virginia,1986,51.1,45
Wisconsin,1986,68,63.3
Wyoming,1986,70,63.8
Alabama,1987,61,56.4
Alaska,1987,72.6,65.2
Arizona,1987,64.3,60.2
Arkansas,1987,61.3,56.3
California,1987,67,63.1
Colorado,1987,70.3,65.1
Connecticut,1987,69.4,67.2
Delaware,1987,68.2,66.1
Florida,1987,61.9,58.5
Georgia,1987,67.5,63.7
Hawaii,1987,67.1,64.7
Idaho,1987,66.2,61.3
Illinois,1987,66,61.1
Indiana,1987,66.1,62.1
Iowa,1987,68.2,64.3
Kansas,1987,68.8,65.4
Kentucky,1987,61.8,56.7
Louisiana,1987,60.9,53.8
Maine,1987,64.9,62.1
Maryland,1987,69.8,66.8
Massachusetts,1987,67.9,65.6
Michigan,1987,65,59.6
Minnesota,1987,71.9,68.2
Mississippi,1987,61.5,55.1
Missouri,1987,66,61.9
Montana,1987,66.9,62
