Table 8-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal R&D obligations per employed worker, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal R&D obligations ($thousands),,,,,,,,,,,,,,,,,,,,,,,Employed workers,,,,,,,,,,,,,,,,,,,,,,,Federal R&D obligations/ employed worker ($),,,,,,,,,,,,,,,,,,,,,
Nevada ,"484,725","495,981","465,781","406,159","347,665","368,914","253,235","295,042","294,697","279,129","273,344","360,215","342,532","418,931","554,983","593,264","422,449","321,050","312,624","492,146","379,814","482,238",,"622,516","650,324","677,076","714,032","764,451","805,286","847,274","895,258","938,662","978,969","1,015,221","1,042,182","1,066,477","1,093,507","1,128,223","1,173,425","1,222,277","1,245,102","1,254,466","1,209,252","1,199,517","1,207,799",,779,763,688,569,455,458,299,330,314,285,269,346,321,383,492,506,346,258,249,407,317,399
New Hampshire ,"145,144","196,262","156,135","237,604","218,891","213,243","268,476","278,697","269,466","291,723","357,828","474,423","312,305","511,948","422,144","513,830","371,808","339,923","294,312","419,244","350,471","407,597",,"585,032","569,621","568,909","580,137","594,935","605,929","617,629","635,469","651,292","666,066","675,541","680,706","679,818","679,420","687,855","696,765","708,748","713,782","714,205","696,145","693,679","697,383",,248,345,274,410,368,352,435,439,414,438,530,697,459,754,614,737,525,476,412,602,505,584
New Jersey,"1,601,600","1,698,150","1,646,784","1,422,848","1,385,692","1,297,664","1,272,576","1,318,793","1,459,570","2,661,153","1,979,346","1,673,959","2,109,112","2,087,600","2,273,723","2,524,843","2,110,673","2,191,960","2,192,726","2,453,985","2,852,962","2,622,723",,"3,864,958","3,776,632","3,709,471","3,727,262","3,789,960","3,846,322","3,925,794","4,031,022","4,047,062","4,092,714","4,130,310","4,117,543","4,117,265","4,108,397","4,144,223","4,207,738","4,257,899","4,264,617","4,261,840","4,135,921","4,111,155","4,120,017",,414,450,444,382,366,337,324,327,361,650,479,407,512,508,549,600,496,514,515,593,694,637
New Mexico ,"2,311,310","2,018,739","2,211,251","2,309,611","1,894,083","1,959,948","1,954,981","1,933,123","1,892,068","2,068,291","2,210,494","2,890,565","2,877,019","3,090,089","3,363,175","3,593,366","3,100,110","3,478,018","3,502,888","3,566,240","3,337,955","3,553,015",,"663,698","667,698","680,463","700,258","725,387","744,557","751,826","768,596","783,661","793,052","810,024","821,003","823,191","835,835","849,970","866,349","886,708","903,919","904,735","873,960","861,503","862,043",,"3,482","3,023","3,250","3,298","2,611","2,632","2,600","2,515","2,414","2,608","2,729","3,521","3,495","3,697","3,957","4,148","3,496","3,848","3,872","4,081","3,875","4,122"
New York,"2,960,839","3,086,307","3,058,737","2,538,016","2,678,717","2,585,904","2,504,851","2,471,013","2,560,514","2,689,016","2,989,719","3,528,344","3,820,559","4,382,460","4,505,321","5,320,079","5,225,241","5,367,562","4,651,187","6,118,791","5,602,222","5,252,630",,"8,339,800","8,112,503","7,979,726","8,013,498","8,080,243","8,125,798","8,228,913","8,416,544","8,546,550","8,657,431","8,751,441","8,743,924","8,721,428","8,703,889","8,816,013","8,947,069","9,062,464","9,097,751","9,111,277","8,832,592","8,760,743","8,740,642",,355,380,383,317,332,318,304,294,300,311,342,404,438,504,511,595,577,590,510,693,639,601
North Carolina,"618,646","673,840","700,671","719,115","734,323","831,620","821,457","900,344","922,731","1,007,518","1,062,536","1,400,937","1,392,981","1,617,325","1,683,581","1,806,115","1,765,859","1,828,443","1,772,567","2,013,285","2,151,161","2,069,117",,"3,352,165","3,330,035","3,372,068","3,434,311","3,511,339","3,582,647","3,704,108","3,809,601","3,844,792","3,921,244","3,969,235","3,929,977","3,930,736","3,973,635","4,031,081","4,123,857","4,261,325","4,283,826","4,280,355","4,104,049","4,136,257","4,183,052",,185,202,208,209,209,232,222,236,240,257,268,356,354,407,418,438,414,427,414,491,520,495
North Dakota ,"53,061","43,733","54,230","50,329","49,610","47,359","46,178","53,015","52,088","59,947","64,051","77,903","104,707","107,257","108,573","117,921","112,067","115,779","98,326","101,011","119,582","118,061",,"305,935","305,007","305,056","308,915","327,377","331,252","334,086","335,854","336,642","336,481","335,780","336,228","333,605","336,353","339,541","343,625","349,368","355,050","358,724","355,641","360,921","368,677",,173,143,178,163,152,143,138,158,155,178,191,232,314,319,320,343,321,326,274,284,331,320
Ohio,"2,088,529","1,729,901","1,863,371","1,921,720","1,736,435","1,809,958","1,681,723","1,879,784","5,563,023","3,687,855","2,164,645","3,051,142","2,380,350","2,967,071","2,794,181","2,961,450","2,420,136","3,660,876","2,580,353","3,824,569","4,098,787","3,609,891",,"5,079,472","5,045,897","5,072,649","5,138,818","5,254,199","5,330,591","5,378,491","5,448,161","5,488,877","5,534,376","5,573,154","5,566,735","5,503,109","5,498,936","5,502,533","5,537,419","5,602,764","5,611,042","5,550,368","5,320,715","5,271,394","5,303,655",,411,343,367,374,330,340,313,345,"1,014",666,388,548,433,540,508,535,432,652,465,719,778,681
Oklahoma ,"162,639","131,536","126,054","117,908","142,117","158,691","138,258","160,356","176,173","165,818","232,217","324,002","276,126","570,249","498,478","400,746","262,336","253,227","260,753","350,605","429,597","475,596",,"1,434,566","1,426,240","1,432,081","1,450,076","1,469,487","1,490,602","1,514,880","1,543,105","1,569,498","1,590,838","1,609,522","1,614,627","1,602,118","1,598,614","1,605,641","1,628,655","1,650,070","1,663,632","1,675,965","1,648,556","1,657,099","1,678,953",,113,92,88,81,97,106,91,104,112,104,144,201,172,357,310,246,159,152,156,213,259,283
Oregon,"175,584","216,459","226,514","229,375","279,164","283,411","308,179","319,587","348,626","408,099","468,167","522,640","504,034","514,212","504,810","650,069","505,321","506,417","581,074","631,477","675,292","729,170",,"1,424,864","1,425,231","1,448,017","1,489,808","1,546,552","1,583,153","1,618,571","1,652,997","1,678,407","1,697,288","1,716,954","1,711,041","1,704,131","1,699,679","1,714,447","1,740,990","1,792,039","1,821,827","1,827,032","1,753,853","1,761,867","1,785,400",,123,152,156,154,181,179,190,193,208,240,273,305,296,303,294,373,282,278,318,360,383,408
